Sezon,Wyścig,Poz.,Nazwisko,Grupa,lvl
83,13.09-10 18:45:02.011508,1,George Slater,Elite,10
83,13.09-10 18:45:02.011508,2,Ania Piekarska,Elite,10
83,13.09-10 18:45:02.011508,3,Rafal Celejewski,Master - 5,9
83,13.09-10 18:45:02.011508,4,Rimantas Sagatas,Elite,9
83,13.09-10 18:45:02.011508,5,Miel Soeterbroek,Elite,9
83,13.09-10 18:45:02.011508,6,Alex Holland,Elite,9
83,13.09-10 18:45:02.011508,7,Roland Postle,Elite,9
83,13.09-10 18:45:02.011508,8,Jay De Snoo,Elite,9
83,13.09-10 18:45:02.011508,9,Twig Fahaji,Elite,9
83,13.09-10 18:45:02.011508,10,Kristijan Mihovic,Master - 1,9
83,13.09-10 18:45:02.011508,11,Andrea Squizzato,Master - 3,9
83,13.09-10 18:45:02.011508,12,Jasper Coosemans,Elite,9
83,13.09-10 18:45:02.011508,13,Julien Prado,Elite,9
83,13.09-10 18:45:02.011508,14,Daniele Bontempo,Elite,9
83,13.09-10 18:45:02.011508,15,Lee Harding,Elite,9
83,13.09-10 18:45:02.011508,16,Leandro Sereno,Elite,9
83,13.09-10 18:45:02.011508,17,Chris Adnams,Master - 5,9
83,13.09-10 18:45:02.011508,18,Brad Marshall,Elite,9
83,13.09-10 18:45:02.011508,19,György Csillag,Master - 1,9
83,13.09-10 18:45:02.011508,20,Zoltán Zelei,Pro - 16,9
83,13.09-10 18:45:02.011508,21,Antonio Gattulli,Elite,9
83,13.09-10 18:45:02.011508,22,Gyuri Székely,Elite,9
83,13.09-10 18:45:02.011508,23,Simone Pasqualoni,Master - 2,9
83,13.09-10 18:45:02.011508,24,Pedro Moura,Master - 5,9
83,13.09-10 18:45:02.011508,26,Rei Frost,Master - 2,9
83,13.09-10 18:45:02.011508,27,Patryk Janczak,Master - 4,9
83,13.09-10 18:45:02.011508,29,Pablo Fernandez,Elite,9
83,13.09-10 18:45:02.011508,30,Andrej Rilke,Master - 2,9
83,13.09-10 18:45:02.011508,31,Chew Kai Wen,Elite,9
83,13.09-10 18:45:02.011508,32,Fabio Corio,Pro - 10,9
83,13.09-10 18:45:02.011508,36,Alessandro Casagrande,Elite,9
83,13.09-10 18:45:02.011508,37,Filip Dimitrov,Pro - 25,9
